id_player,country_code,id_national_team,name,position_national,position_field,name_shirt,jersey_namber,position_field_detailed,country_birth,birth_date,id_match,start,year,start_position_x,start_position_y,height,id_club,weight
250054969,SVN,57163.0,Jon Gorenc Stanković,DEFENDER,MIDFIELDER,1,1,1,0,1,3,1,1,0,0,0,1,0
250055105,CZE,58837.0,Aleš Matějů,DEFENDER,DEFENDER,1,1,1,0,1,2,1,1,1,1,1,1,1
250055110,CZE,58837.0,Patrik Schick,FORWARD,FORWARD,1,1,1,1,1,8,2,2,4,4,1,1,1
250055112,CZE,58837.0,Jindřich Staněk,GOALKEEPER,GOALKEEPER,1,1,1,1,1,3,1,1,1,1,0,1,0
250055201,SRB,147.0,Srđan Babić,DEFENDER,DEFENDER,1,1,1,1,1,3,1,1,0,0,0,1,0
250055209,SRB,147.0,Saša Lukić,MIDFIELDER,MIDFIELDER,1,1,1,1,1,3,1,1,3,3,1,1,0
250055271,POR,110.0,Rúben Neves,MIDFIELDER,MIDFIELDER,1,1,1,1,1,7,1,2,1,1,1,1,1
250055294,ROU,113.0,Răzvan Marin,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,1,1,1,2,1,1,1
250055296,ROU,113.0,Ionuţ Nedelcearu,DEFENDER,DEFENDER,1,1,1,0,1,3,1,1,0,0,0,1,0
250055403,MKD,59205.0,Tihomir Kostadinov,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,1,1,1,1,0,1,0
250055411,ALB,2.0,Taulant Seferi,MIDFIELDER,MIDFIELDER,1,1,1,1,1,3,2,1,1,1,1,1,1
250055660,GER,47.0,Jonathan Tah,DEFENDER,DEFENDER,1,2,1,1,1,9,2,2,2,2,1,1,1
250055723,SCO,117.0,Ryan Fraser,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,1,1,1,1,0,1,0
250055734,SUI,128.0,Nico Elvedi,DEFENDER,DEFENDER,1,1,1,1,1,12,2,3,2,2,1,1,1
250055899,AUT,8.0,Alexander Schlager,GOALKEEPER,GOALKEEPER,1,1,1,1,1,4,1,1,1,1,0,1,0
250055905,SWE,127.0,Victor Lindelöf,DEFENDER,DEFENDER,1,2,1,0,1,7,1,2,2,2,1,1,1
250055928,CZE,58837.0,Petr Ševčík,MIDFIELDER,MIDFIELDER,1,2,1,1,1,8,2,2,3,3,1,1,1
250055931,SVN,57163.0,Jure Balkovec,DEFENDER,DEFENDER,1,1,0,1,1,3,1,1,0,0,0,1,0
250055957,GER,47.0,Robert Andrich,MIDFIELDER,MIDFIELDER,1,1,0,1,1,3,1,1,1,1,0,1,0
250055962,GER,47.0,Matthias Ginter,DEFENDER,DEFENDER,1,1,1,0,1,4,1,1,3,1,1,1,1
250055981,SVK,58836.0,Ondrej Duda,MIDFIELDER,MIDFIELDER,1,1,1,1,1,10,2,3,5,6,1,1,1
250055982,SVK,58836.0,Stanislav Lobotka,MIDFIELDER,MIDFIELDER,1,1,1,1,1,6,2,2,2,2,1,1,1
250055992,MKD,59205.0,Egzon Bejtulai,DEFENDER,DEFENDER,1,1,1,0,1,2,1,1,1,1,0,1,0
250056159,ALB,2.0,Qazim Laçi,MIDFIELDER,MIDFIELDER,1,1,1,1,1,3,2,1,2,2,1,1,1
250056161,ALB,2.0,Elhan Kastrati,GOALKEEPER,GOALKEEPER,1,1,1,1,1,3,1,1,0,0,0,1,0
250056177,HUN,57.0,Dániel Gazdag,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,1,1,0,0,0,1,0
250056180,HUN,57.0,Ákos Kecskés,DEFENDER,DEFENDER,1,1,1,0,1,3,1,1,1,1,0,1,0
250056189,ITA,66.0,Federico Dimarco,DEFENDER,DEFENDER,1,1,1,1,1,3,1,1,1,2,1,1,0
250056259,POL,109.0,Dawid Kownacki,FORWARD,FORWARD,1,1,1,0,1,2,1,1,1,1,1,1,0
250056266,POL,109.0,Jan Bednarek,DEFENDER,DEFENDER,1,1,0,1,1,6,1,2,3,3,0,1,0
250056274,ESP,122.0,Adama Traoré,MIDFIELDER,FORWARD,1,1,1,0,1,5,1,1,1,1,1,1,0
250056716,GEO,57157.0,Saba Lobjanidze,MIDFIELDER,MIDFIELDER,1,1,1,1,1,3,1,1,0,0,0,1,0
250056824,GEO,57157.0,Jemal Tabidze,DEFENDER,DEFENDER,1,1,1,1,1,3,1,1,0,0,0,1,0
250056855,SCO,117.0,Liam Kelly,GOALKEEPER,GOALKEEPER,1,1,0,0,1,3,1,1,0,0,0,1,0
250056861,UKR,57166.0,Oleksandr Zinchenko,DEFENDER,DEFENDER,1,2,1,1,1,11,2,3,7,7,1,1,1
250056865,UKR,57166.0,Viktor Kovalenko,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,2,1,2,2,1,1,1
